,alpha,gamma,tau,subject,log_like
0,0.3,1.0,0.0,100,-29.11218158351767
0,0.3,1.0,1.7428503591294255,101,-26.689776992281438
0,0.3,7.782629259188978e-07,0.0987909263503714,102,-23.874537261260805
0,0.3,0.9469528872094932,1.6237105446477222,103,-27.031151755938165
0,0.3,1.0,0.7848179886536797,104,-28.83569483638899
0,0.3,0.9880588444570296,3.0164700127047914,105,-24.9951051779446
0,0.3,0.45407819963667817,0.24519742533913752,106,-56.09390796822668
0,0.3,0.3549031556135565,0.09547123444319838,107,-28.859254903622414
0,0.3,1.0,0.5474893550907989,108,-28.766541979680483
0,0.3,0.6311004438375184,0.5599634855225477,109,-26.949381968723173
0,0.3,1.0,1.9685493729034447,110,-27.56043093564594
0,0.3,1.0,0.9392278606647851,111,-28.391962066209622
0,0.3,1.0,0.3836291817709976,112,-28.4965440115911
0,0.3,0.9882912079408888,4.040991313833571,113,-24.927209484937585
0,0.3,0.5801810193152619,0.0,114,-29.11218158351767
0,0.3,0.7576752721599571,0.026930937402738248,115,-29.107677951210828
0,0.3,0.26902456871236746,0.15766207434152532,116,-28.367229542228838
0,0.3,0.9577253650805655,0.0,117,-29.11218158351767
0,0.3,0.9671386291302088,3.1732806841143075,119,-24.835098771975588
0,0.3,1.0,1.4193402150713181,120,-27.876405407779547
0,0.3,0.8469306212129346,0.804293832780453,121,-27.625137914954603
0,0.3,0.5057219756657064,0.4320439937146835,122,-26.29957027374276
0,0.3,0.9848089095729186,0.0,123,-29.11218158351767
0,0.3,1.0,1.1146089344837142,124,-28.573373158565417
0,0.3,1.0,0.9811943764308348,125,-28.272099305622056
0,0.3,0.9268910616681001,0.0,126,-29.11218158351767
0,0.3,0.9711413585928113,1.3501523336009202,127,-27.410246187979237
0,0.3,1.0,0.7091086501025476,128,-28.89769510695756
0,0.3,0.9575592222997482,0.31014601943088127,129,-29.020647934446153
0,0.3,0.7544894669218694,0.6883677610328298,130,-25.947864099746024
0,0.3,3.970292344155427e-14,0.028704329521952274,131,-27.18052754594595
0,0.3,0.8726202778475309,1.18580604510235,132,-26.876293773924996
0,0.3,0.9774760630252447,2.459980500771022,133,-26.235157390986068
0,0.3,0.45936312275384816,1.033770687575579,135,-18.277419814864587
0,0.3,1.0,0.21439037067212632,136,-29.092556709266066
0,0.3,0.0894752095179337,0.12971375212239383,137,-27.989950240023354
0,0.3,0.7984466272389282,0.07516298333778632,138,-29.083695407088303
