subject,gamma,alpha,tau,w,log_like,k,n
100,0.37647906985670226,0.4071381475026582,7.917368816861943,0.0,-29.11218158351767,4,42
101,0.992612323057546,0.7267672396081768,0.8207828350768578,0.73323608641698,-25.3243106699707,4,42
102,0.9159944569892264,0.013471220519958763,0.07264183150821421,0.7058432726461488,-21.002740784785352,4,42
103,0.001195876941859686,0.9512480672428544,0.04102373817940119,0.9207636703837973,-24.458424206403862,4,42
104,0.0,1.0,0.3275077608402532,0.5868090153507758,-27.1309655477664,4,42
105,1.0,0.13356758029617785,0.26196083437706597,0.6805424167075059,-23.354277409307052,4,42
106,0.8295764125490207,0.33355305884807035,0.03480684574925912,0.1592284002419232,-25.42703067622391,4,42
107,0.14450957469910808,0.14798121516210744,0.4523466718365712,0.891355571571721,-28.68226806088872,4,42
108,0.3026203251204897,1.0,1.6992942420827986,1.0,-28.727781013253185,4,42
109,0.6560458708500888,0.03213234060998169,0.09141265622146015,0.7850955286945729,-20.332573303056535,4,42
110,1.0,0.9285067055809368,1.4000060748591987,0.963875508078052,-24.718617188384602,4,42
111,1.0,0.03873063442673978,0.13088713844362398,0.1783486638406423,-27.92619103318667,4,42
112,0.9945409196388696,0.5912958569914666,2.9130220304778143,0.5011158578682352,-28.5596828987182,4,42
113,1.0,0.2138941379944749,0.31550262465027346,0.8622324208349169,-25.31977578182501,4,42
114,0.32131526605787486,0.595473574508347,8.472248085382015,0.0,-29.11218158351767,4,42
115,0.9159143849023034,1.0,0.8303486894775893,0.38117258480881805,-28.261140826252586,4,42
116,0.0037970724817640343,0.45580606809991864,0.17217774910372496,0.8342605673773019,-25.804583771439795,4,42
117,0.0,0.7249790100729914,1.838077884339661,0.9473279068633739,-29.010945401921983,4,42
119,1.0,0.12338469041984491,0.04257568601974241,0.12372421455135514,-23.22614096116544,4,42
120,1.0,0.9787905958114339,4.919316698174216,1.0,-27.065747249890137,4,42
121,0.6999406055067633,0.03782725479329999,0.28381020304356086,0.9982449635698788,-26.68674511662889,4,42
122,0.252329791211986,0.821968190291488,0.0814956954381457,0.606848285454415,-23.708780162321382,4,42
123,0.8857414183833527,1.0,0.9720998869833121,0.3233765661340843,-28.783775697620552,4,42
124,0.9999836123085261,3.8688497673802164e-07,6.017024503283276e-06,0.9999914621847937,-25.20820101673538,4,42
125,1.0,0.5409169926609614,2.4295989323291867,1.0,-27.981621494274876,4,42
126,0.9272759982877474,1.0,3.7692153673399087,0.8615633658006355,-28.77729801295476,4,42
127,1.0,0.18595850206417847,0.6008247096252499,0.5591277610319314,-27.199495042706502,4,42
128,0.0,0.0577486920222764,0.4430238168884943,0.9740754661422371,-28.70897601945408,4,42
129,0.0,1.0,0.91023885528821,1.0,-28.588933439753202,4,42
130,1.0,0.020323826369856805,0.11581535293770603,0.6731223404719814,-21.7243898816404,4,42
131,0.6651692536700915,0.07852330007589049,0.27885423876109255,0.7424560801969792,-27.64498832922804,4,42
132,0.0,0.07633989158649739,0.08882272347809475,0.9121462704306477,-25.606483419321947,4,42
133,1.0,0.1375016610276006,0.34092934377683104,0.7467362293184894,-25.065973409729665,4,42
135,0.6808885088178999,0.15951448606423035,0.03328879860272641,0.389114071704618,-18.1658716599358,4,42
136,1.0,0.586795529657055,7.869841888775354,1.0,-29.065766807718397,4,42
137,0.9583972800880828,1.0,0.889620417953524,0.5520058999108807,-26.24345394926374,4,42
138,0.7625152724142049,1.0,1.445363354143382,0.782152995677551,-28.534781790192486,4,42
