gamma,gamma2,alpha,tau,w,log_like
1.0,0.6944001378583294,1.0,10.0,0.5227789662811733,-27.93949093492602
0.9964168723026436,0.0,0.7922417880180468,0.6430743253229815,0.37293820357292773,-25.19523191879926
0.916000872302264,0.9160050962953484,0.01347138826190014,0.10291656780448016,0.627398882240609,-21.002740784680263
0.0003048915132878341,0.0,0.9984507830376872,0.0014067142540586184,0.07476406930409366,-24.43099671317467
0.0,0.0,1.0,0.5581118423408103,0.42244608878060463,-27.130965547623454
1.0,0.5585225061726665,0.13356761871454412,0.38492923025517495,1.0,-23.354277409307027
0.7577584520635056,0.18513950850829786,0.05053921986447526,0.5513224978044855,1.0,-55.84253961778856
1.0,0.25700804441149216,0.8857863019071223,1.8184478232186445,0.18020340654071992,-28.55950802619938
0.6560944988680076,0.6560466421335787,0.03213163412033094,0.1164419819622518,0.8406318327096604,-20.332573308131032
1.0,0.48230583994451937,0.9285067168897841,1.452476141761304,1.0,-24.71861718838463
1.0,0.40863072379057114,0.038730700318635264,0.7338857297745927,1.0,-27.92619103319011
0.0,1.0,0.9657311846678533,0.7756243829600806,0.9737206719161939,-28.065828727664645
1.0,0.5645318781898768,0.21389718061522686,0.36591731826615825,1.0,-25.31977578253498
0.832651086534233,0.7364816145023155,0.0,9.657459114779417,0.2897371958885327,-29.11218158351767
0.9302239526812466,0.0,1.0,1.2100624743935078,0.37069542309229997,-28.13653637625541
0.1768952842139413,0.0038005152829054304,0.45580638139898727,0.20638409258396326,0.0,-25.804583771455363
0.027295578903601375,0.0,1.0,2.4663277578550615,0.0,-29.011504015773802
0.5694507448119941,1.0,0.125998397404863,0.30838564236774735,0.15941365550913747,-23.223128014132083
0.0,1.0,0.7193210006683141,0.7332877313649039,0.6935623774864005,-27.47674251158603
0.6998364094138125,0.7163443334389326,0.037827343999579446,0.2844358944516112,0.9735224898078586,-26.6867533060986
0.25224009382671586,0.2523414513406676,0.8219613497147471,0.13429182684460825,0.13530959983659688,-23.708780163689397
0.8857381555043057,1.0,1.0,3.006185736257385,1.0,-28.783775698294495
0.17094409025506474,0.2571801598769531,0.0011308035609646772,0.01581844722220982,0.5817262873276771,-25.267883397013627
0.6068106088736395,1.0,0.5409174294427682,2.429597261299815,0.0,-27.981621494270193
0.9272785170768394,0.9272758814019924,1.0,4.374889296012322,0.10337324643925137,-28.777298012989654
0.9847318104640084,0.9978274722785495,0.18591091878258154,1.0371674834594897,0.008727306670640917,-27.200232503598265
0.0,1.0,0.8456186955074123,3.8049550292471377,0.0,-28.637916249513783
0.0,0.0,1.0,0.9102318572389877,1.0,-28.588933439782796
1.0,0.664156330458688,0.02032374481199596,0.1720561305118627,1.0,-21.72438988160586
0.6651328554524631,0.6650645115522766,0.0785231915620802,0.3755463646633489,0.9599624321790297,-27.644988337463246
0.0,0.0,0.07634003964114859,0.09737794846852665,0.39178588895884975,-25.606483419296467
0.5412645091836404,1.0,0.1375091134781851,0.4565669599310603,0.0,-25.06597341497137
0.6808871580680467,0.6808956672329257,0.1595132806735329,0.08555074560562267,0.7946980021339107,-18.165871659783132
0.651958982366107,0.526755419806703,0.0,0.7595414178459619,0.8161857697428305,-29.11218158351767
0.0,0.0,0.39509283702051,0.46331139008723576,0.26155670247906104,-28.2737864676822
0.6765761308027383,1.0,0.9996015079237831,1.9011346553429396,0.8971764145576885,-27.556348649016734
