subject,gamma,w,alpha,tau,log_like,k,n
100,0.0,1,0.33600996742473055,10.0,-29.174009632832025,2,42
101,0.0,1,0.7726859961279207,0.5014013706652234,-27.9886619244476,2,42
102,0.0,1,0.005368423202765895,0.040091613194452855,-21.726797623552137,2,42
103,0.0,1,0.9984515812753911,0.0014067100202443956,-24.430901736238724,2,42
104,0.0,1,1.0,0.5581094492161572,-27.13096554762305,2,42
105,0.0,1,0.08746935731510291,0.17710859219489672,-26.792981271246074,2,42
106,0.0,1,1.0,0.7213475125573557,-28.14845779840889,2,42
107,0.0,1,0.14725939214572695,0.49064096277970903,-28.687971418709314,2,42
108,0.0,1,0.9406647355900425,1.8384751628165255,-28.85384233964907,2,42
109,0.0,1,0.020951117078856874,0.07064396289571535,-21.395901018704656,2,42
110,0.0,1,0.7041789914239953,1.3790127141145314,-28.96309927628482,2,42
111,0.0,1,1.9513595905249968e-07,6.906166484446988e-06,-28.1344381145334,2,42
112,0.0,1,1.0,0.7213478808521,-28.14845779840908,2,42
113,0.0,1,0.001341165763279958,0.03638115740630465,-27.721604163094025,2,42
114,0.0,1,0.0,9.214698528428313,-29.11218158351767,2,42
115,0.0,1,0.7683196653826322,0.7967041987273067,-28.334008395082932,2,42
116,0.0,1,0.4554873061393044,0.20620962208180404,-25.804619022592032,2,42
117,0.0,1,0.7249926732617417,1.9403082462802688,-29.01094540193225,2,42
119,0.0,1,0.06694400468157127,0.10399250619561108,-24.67670668086036,2,42
120,0.0,1,0.7792134626154272,0.9871514681349487,-28.85894568507847,2,42
121,0.0,1,0.019821376238942708,0.16511378262369003,-27.176307598984163,2,42
122,0.0,1,0.5499976169054458,0.14839043030269902,-24.40810213482374,2,42
123,0.0,1,0.013437522876712429,1.0003041920395326,-29.05456993216528,2,42
124,0.0,1,3.65872106921917e-07,5.691430534967727e-06,-25.20817456913858,2,42
125,0.0,1,0.0,7.8929359102819685,-29.11218158351767,2,42
126,0.0,1,1.0,10.0,-29.11967846059943,2,42
127,0.0,1,8.35401144426646e-05,0.004977231087259068,-28.693679067670825,2,42
128,0.0,1,0.057748965766174144,0.4548143532682732,-28.70897601945904,2,42
129,0.0,1,0.9999996180131677,0.910238412299293,-28.588933439753607,2,42
130,0.0,1,1.5081133276249122e-07,1.824453794017547e-06,-23.102242638907644,2,42
131,0.0,1,0.006832688665428479,0.16634148283151273,-28.287450848376196,2,42
132,0.0,1,0.07634002702409377,0.0973779606783901,-25.60648341929627,2,42
133,0.0,1,0.0034373104649401457,0.052058484306845725,-26.234408643817737,2,42
135,0.0,1,0.12052842380248624,0.0670881926654452,-21.32978502203548,2,42
136,0.0,1,0.0,7.4716074059199205,-29.11218158351767,2,42
137,0.0,1,0.3950924459109015,0.46331153260266894,-28.273786467683067,2,42
138,0.0,1,0.3928076766485273,0.8615657260557942,-28.75976473216429,2,42
