subject,w,gamma,alpha,tau,log_like,k,n
100,1,0.18621484898264506,0.0,9.841125968009543,-29.11218158351767,3,42
101,1,0.9926124881471882,0.7267704318485381,1.1193883192700043,-25.324310671625295,3,42
102,1,0.9160034616439245,0.013471206231047706,0.10291525233620909,-21.002740784674423,3,42
103,1,0.0,0.9984535456261189,0.0014068571886278079,-24.43089986352702,3,42
104,1,0.0,1.0,0.5581105200434813,-27.130965547616974,3,42
105,1,1.0,0.1335676426157851,0.38492964774672894,-23.354277409309166,3,42
106,1,0.8295762616196174,0.3335540313645529,0.218597054694003,-25.42703067622715,3,42
107,1,0.14450876120845607,0.14798102062230473,0.5074817645796007,-28.682268060886546,3,42
108,1,0.9897432518829945,0.5929163726880547,2.8826830190108503,-28.590902957971362,3,42
109,1,0.6560507034028514,0.03213214750755547,0.1164356826505225,-20.33257330292198,3,42
110,1,1.0,0.928506714364765,1.4524762970581466,-24.718617188384712,3,42
111,1,1.0,0.03873054526359944,0.7338838768502751,-27.926191033189387,3,42
112,1,0.0,1.0,0.7213478458077534,-28.148457798409044,3,42
113,1,1.0,0.21389417366403468,0.36591367520016166,-25.319775781824784,3,42
114,1,0.04483979510744349,0.0,9.50526710357315,-29.11218158351767,3,42
115,1,0.9159144711328577,1.0,2.1784222118610845,-28.26114082623201,3,42
116,1,0.003798802058522042,0.45580703269014106,0.20638369436972878,-25.804583771453856,3,42
117,1,0.0,0.7250739386359725,1.9404744510208132,-29.010945402548174,3,42
119,1,1.0,0.12338561665298044,0.3441184002023855,-23.226140961132206,3,42
120,1,1.0,0.6179746092885382,2.000894235652134,-27.660552269757947,3,42
121,1,0.6999419850278128,0.03782760197083624,0.2843094008038627,-26.686745116651576,3,42
122,1,0.2523319927583502,0.821964358014862,0.13429403843182983,-23.70878016222057,3,42
123,1,0.885740858191225,1.0,3.00615077840881,-28.783775697719634,3,42
124,1,0.9401857355583287,6.762041624901938e-05,0.0010526981028182872,-25.214325856124802,3,42
125,1,1.0,0.5409184674291384,2.4295975025031114,-27.98162149427808,3,42
126,1,0.927275390021674,1.0,4.37483561770234,-28.777298012971094,3,42
127,1,1.0,0.18595854831637443,1.0745753081287976,-27.199495042706392,3,42
128,1,1.0,0.8456142471785766,3.804907072742567,-28.63791624980579,3,42
129,1,0.0,1.0,0.9102381404265314,-28.58893343975377,3,42
130,1,1.0,0.020323864487873388,0.17205582737115493,-21.724389881900567,3,42
131,1,0.6651738282724907,0.07852382017532054,0.37558691813775996,-27.644988329143917,3,42
132,1,0.0,0.07634001978269317,0.09737796693658575,-25.606483419296225,3,42
133,1,1.0,0.13750727826356693,0.4565905553086449,-25.065973425232617,3,42
135,1,0.6808890961085676,0.15951361930715605,0.08555073374041143,-18.165871659735135,3,42
136,1,0.6140913814479199,0.0,9.648749741298339,-29.11218158351767,3,42
137,1,0.9583972798376903,1.0,1.6116142740150015,-26.24345394926349,3,42
138,1,0.7625155533830345,1.0,1.8479256713845627,-28.534781790189857,3,42
