subject,gamma,gamma2,alpha,tau,w,log_like
100,1.0,0.6500579725683159,1.0,9.411326394086965,0.4849872024257808,-27.879911953625463
101,0.992612311099275,0.35870293147228666,0.7267662329518373,0.7679623217678472,0.686050299131051,-25.32431066998423
102,0.9160061874389052,0.7020499546444258,0.013471159165653567,0.1029153539414478,1.0,-21.00274078465328
103,0.0,0.030927856448906665,0.9868514161193969,0.0065649013312220105,0.5468133205907043,-24.43730611365097
104,0.0,0.44142301049403376,1.0,0.38085374635402863,0.6823982658692204,-27.13096554761693
105,1.0,0.8125416129964674,0.1335676095480276,0.2885509921780988,0.7496206393085016,-23.354277409306537
106,0.8295764586790089,0.7082171373534527,0.333553508364624,0.20840242887774058,0.9533637639209217,-25.42703067622137
107,0.14450206667658533,0.5978625812065177,0.1479807194019461,0.4599932931450691,0.9064273346142178,-28.682268060896497
108,0.9897430499448917,0.12808454337905417,0.5929041289809721,1.0275019480817698,0.35644664461038655,-28.59090295818762
109,0.6560510726829569,0.20470730368980516,0.0321320792993375,0.06707901302842363,0.5761026494678868,-20.332573302917968
110,1.0,0.6228615549464753,0.9285067307415619,1.4524755776150173,1.0,-24.71861718838544
111,1.0,0.18491172614588552,0.03873061831103896,0.5243320385680015,0.7144621104167272,-27.926191033186548
112,1.7831683149269371e-06,0.9518109959567957,1.0,0.7063277261804615,0.979178011116661,-28.148457798409552
113,1.0,0.36356399898465996,0.21389343006048778,0.2944683886494432,0.8047505128149366,-25.319775781880573
114,0.28698353919947683,0.3143479404038519,0.4114498492979009,6.28329467050554,0.0,-29.11218158351767
115,0.0,0.06282098649876672,0.768318039314379,0.7070963429684954,0.8875328552416054,-28.334008395056955
116,0.0037971835619767347,0.27552379505156027,0.45580652640103114,0.1810189935980643,0.8770996731656836,-25.804583771444488
117,0.0,0.26002068457362837,0.9042774650493144,2.267797043651601,1.0,-29.011456883189645
119,1.0,0.9787606735173917,0.12338558004339632,0.030322280212735968,0.08811606250515334,-23.22614096110341
120,1.0,0.91632154379377,0.6179755224887319,1.2040840782036888,0.6017711080420093,-27.660552269767408
121,0.6999413699025665,0.6361399996276104,0.03782731339560358,0.1529207533937832,0.5378676941154446,-26.686745116625893
122,0.2523322466076484,0.9711553128129153,0.821964426631069,0.12446721399894382,0.9268252142266405,-23.708780162221064
123,0.8857414413228311,0.5863541061160423,1.0,2.592044685161334,0.8622459953284446,-28.78377569772584
124,0.2908481967656992,0.9623629315297482,0.029153499557389106,0.3438114316167713,0.9227564507326496,-27.491892047091778
125,1.0,0.7899183933075049,0.5421157358685755,2.9945544118313903,0.9998857788754308,-28.019256106978002
126,0.9272762222448501,0.24846462902987498,1.0,4.374886033183668,0.9999999670990818,-28.777298012953757
127,1.0,0.7964570901702618,0.1859586944487516,0.6403742420607558,0.5959321543177452,-27.19949504270686
128,0.0,0.5629507012169523,0.05774874135833112,0.4222064098108206,0.9283047216148076,-28.708976019454283
129,0.0,0.14759184243068418,1.0,0.9102395548028855,1.0,-28.588933439753184
130,1.0,0.5775860769919435,0.020323698060567212,0.094855449447651,0.5513023006012328,-21.72438988179894
131,0.6651726986940361,0.884067110295236,0.07852396202228908,0.28668223681060795,0.7632916706003865,-27.64498832915112
132,0.0,0.220392194243473,0.07634001279253402,0.08757869343695283,0.899368652766877,-25.606483419296215
133,1.0,0.006276973597442614,0.13750169849966026,0.4046388265844071,0.8862796208034199,-25.065973409737552
135,0.680887656134337,0.4890524074242339,0.15951382786140259,0.07843168048254974,0.9167876596627373,-18.16587165976808
136,1.0,0.40641804788694763,0.5867963195844096,4.621050641927045,0.5871214172947088,-29.0657668077479
137,0.9583972727677624,0.8311801953947606,1.0,1.6116140589234154,1.0,-26.243453949263817
138,0.7625169066631874,0.7860092817991345,1.0,1.1715662777888218,0.6339846612684892,-28.53478179022591
