,level_0,index,gamma,alpha,tau,subject,log_like
0,0,0,1.0,0.9992920792537184,0.13459051019261006,100,-28.476252131971517
1,1,0,0.9921110305421703,0.7125457259429281,2.7112882983990274,101,-25.406294539588618
2,2,0,0.7763638818050033,0.022943754854950628,0.7253494411360785,102,-20.825487065182756
3,3,0,0.9253548714177279,0.6854046599134058,1.3074171132403896,103,-25.866600195292587
4,4,0,0.009604749213058554,0.22117507383260088,0.052227296942456355,104,-28.795034206373728
5,5,0,1.0,0.1293519537967914,2.040563906042581,105,-22.9190072197289
6,6,0,0.0633425747955283,0.9996713469388123,0.039853110862157,106,-55.52970027004875
7,7,0,0.30555146556293616,0.33302459510218274,0.08729829000506455,107,-28.856336572167347
8,8,0,0.9977636334269584,0.600540803175638,0.6561986256757005,108,-28.69874874133281
9,9,0,0.25397050876812843,0.0010360486425418103,0.4678190379570687,109,-19.506863859202763
10,10,0,1.0,0.9173258455637938,4.778858744278598,110,-24.512026631598435
11,11,0,1.0,0.1018498117149299,0.5473442193703058,111,-28.144487767543925
12,12,0,1.0,0.14020028394311654,0.3427450881772172,112,-28.468672179029863
13,13,0,0.9907323056028183,0.25189256245049957,3.7288928920146844,113,-24.873741594492827
14,14,0,0.7560223709681564,0.1904162787225048,0.0,114,-29.11218158351767
15,15,0,0.9492833034658487,0.9931022603511241,0.22457776168020074,115,-28.49131290177708
16,16,0,0.03481299943452134,0.8018050101477117,0.07519592707198973,116,-27.763443210763064
17,17,0,0.9973928807645751,0.49914153530526134,0.0,117,-29.11218158351767
18,18,0,1.0,0.13429540191283307,2.232326756155744,119,-23.88922096845282
19,19,0,0.9981607501840161,1.0,0.3634357117466786,120,-24.99452368048024
20,20,0,0.8552176421408224,0.03698307198007005,0.5382794753688472,121,-25.98436646876699
21,21,0,0.7927378407080262,0.05791831956196821,0.6740640089476174,122,-25.03202779837124
22,22,0,0.5115594918522492,0.9999999492003344,0.03528912999808822,123,-28.328277662304796
23,23,0,1.0,0.021155084162228777,0.34719797910758377,124,-27.1966590701755
24,24,0,1.0,0.5547425801540786,1.2039597107895752,125,-27.932209912715706
25,25,0,0.8919180356497783,0.9774347874052356,0.1961879654995544,126,-28.427779313621603
26,26,0,1.0,0.1708158521091053,0.9799509224783246,127,-27.32150191820802
27,27,0,0.045729678885237844,0.09081105224741584,0.06936929740463649,128,-28.799243660165878
28,28,0,0.9643422501545027,0.4449423352563131,0.4162116789344707,129,-28.954639140587815
29,29,0,0.9234375255232555,0.024243873202266192,0.6674639338929619,130,-22.588290859168904
30,30,0,0.0031679229863592734,0.06903580817233637,0.12232470014967924,131,-27.053771682588497
31,31,0,0.4355868502537027,0.11585573845892194,0.5359162967787028,132,-25.997349488214557
32,32,0,1.0,0.09142157444970168,1.1408194404550478,133,-25.268961929207727
33,33,0,0.7971974794518999,0.13629424722959776,2.174672286117696,135,-17.832800179587302
34,34,0,1.0,0.5251918596935774,0.475395924242249,136,-29.0456675819437
35,35,0,0.7538297014208731,0.9999999883789649,0.10974381679463287,137,-25.608807674858905
36,36,0,0.9484512994373832,0.6832274906211417,0.34259849536891834,138,-28.960264133834112
